                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.47621,                0.27195,                0.80726,                0.91811,                0.93487,                0.95836,                0.75883,                0.45253,                0.26959,                0.79494,               0.000948,               0.000948,               0.000948
                     36,                0.47215,                0.26969,                0.80637,                0.90821,                0.94241,                0.95335,                0.76006,                 0.4445,                0.26417,                0.79495,             0.00093385,             0.00093385,             0.00093385
                     37,                0.46061,                0.26584,                0.80492,                0.92288,                0.92395,                0.95029,                0.76118,                0.46263,                0.26623,                 0.7954,              0.0009197,              0.0009197,              0.0009197
                     38,                0.46188,                0.26518,                0.80637,                0.90889,                0.94104,                0.95728,                0.76461,                0.45623,                0.26588,                0.79377,             0.00090556,             0.00090556,             0.00090556
                     39,                 0.4536,                0.25713,                0.80408,                0.93023,                0.92482,                  0.952,                0.76853,                0.44916,                0.26022,                 0.7963,             0.00089141,             0.00089141,             0.00089141
                     40,                  0.435,                 0.2492,                0.80319,                0.94266,                0.92458,                0.95933,                0.76746,                 0.4432,                0.25882,                0.79461,             0.00087726,             0.00087726,             0.00087726
                     41,                0.43412,                0.24967,                0.80008,                0.92701,                0.92422,                0.96051,                0.76515,                0.43171,                0.25104,                0.79519,             0.00086312,             0.00086312,             0.00086312
                     42,                0.43134,                0.24607,                0.79977,                0.93121,                0.91901,                0.94472,                0.76459,                0.42859,                0.24713,                0.79376,             0.00084897,             0.00084897,             0.00084897
                     43,                0.42483,                0.24281,                0.79868,                0.92045,                0.91811,                0.94745,                0.77169,                0.43631,                0.25013,                0.79158,             0.00083482,             0.00083482,             0.00083482
                     44,                0.42506,                 0.2425,                0.80004,                0.92352,                0.92944,                0.95635,                0.76619,                0.44552,                0.25551,                0.79287,             0.00082067,             0.00082067,             0.00082067
                     45,                0.42584,                 0.2421,                0.80018,                0.92006,                0.92793,                0.94933,                 0.7629,                0.42767,                0.25075,                0.79369,             0.00080653,             0.00080653,             0.00080653
